Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2022-0246-P,2022-05-17,2022-06-07,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65541,White,Male,31,,Female,Black,37
Public Initiated,2022-0260-P,2022-06-06,2022-06-07,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,6th District,Unknown,Patrol,Regular Working,Between 12pm-12am,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - AUTHORIZED FORCE,65545,White,Male,30,,Female,Black,15
Public Initiated,2022-0243-P,2022-05-15,2022-06-07,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65549,Black,Female,39,,Female,Black,37
Public Initiated,2022-0247-P,2022-05-24,2022-06-07,2022-08-11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,SRO,SRO Other,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65551,Black,Male,55,,Female,Black,57
Rank Initiated,2022-0251-R,2022-05-23,2022-06-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65559,White,Male,28,,,,
Rank Initiated,2022-0251-R,2022-05-23,2022-06-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65561,White,Male,45,,,,
Public Initiated,2022-0259-P,2022-06-05,2022-06-06,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,Night Watch,Night Watch,DUI 2009-0665-R,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65566,Black,Male,49,,Male,Black,41
Public Initiated,2022-0255-P,,2022-06-10,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65569,Black,Male,,,Male,Black,
Public Initiated,2022-0255-P,,2022-06-10,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad A,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65570,White,Female,,,Male,Black,
Rank Initiated,2022-0263-R,2022-06-08,2022-06-09,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between  7pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65578,White,Male,40,,,,
Public Initiated,2022-0266-N,,2022-06-10,,NFIM,Initial,Pending,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,65580,,,,,Male,,
Rank Initiated,2022-0256-R,2022-03-24,2022-06-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65589,Black,Male,32,,,,
Rank Initiated,2022-0256-R,2022-03-24,2022-06-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65591,Black,Male,55,,,,
Rank Initiated,2022-0256-R,2022-03-24,2022-06-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65592,Black,Male,30,,,,
Rank Initiated,2022-0256-R,2022-03-24,2022-06-13,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 1,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65594,Black,Male,50,,,,
Public Initiated,2022-0252-P,2021-07-26,2022-06-14,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65602,White,Female,46,,Female,Black,42
Public Initiated,2022-0252-P,2021-07-26,2022-06-14,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65604,White,Female,36,,Female,Black,42
Rank Initiated,2022-0274-R,2022-06-16,2022-06-17,,DI-1,Forwarded,Pending,MSB - Management Services Bureau,REC & ID,Records,Criminal Records,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65633,Black,Female,27,,,,
Rank Initiated,2022-0274-R,2022-06-16,2022-06-17,,DI-1,Forwarded,Pending,MSB - Management Services Bureau,REC & ID,Records,Criminal Records,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65709,,,,,,,
Public Initiated,,,2022-06-17,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-06-17,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,2022-0262-P,2022-06-07,2022-06-17,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65634,Hispanic,Male,57,,,,
Public Initiated,2022-0262-P,2022-06-07,2022-06-17,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65636,White,Male,52,,,,
Public Initiated,2022-0265-P,2020-10-30,2022-06-17,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65639,White,Male,41,,,,
Public Initiated,2022-0265-P,2020-10-30,2022-06-17,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65640,White,Male,34,,,,
Public Initiated,2022-0265-P,2020-10-30,2022-06-17,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65641,Black,Male,45,,,,
Public Initiated,2022-0277-P,2022-06-15,2022-06-17,2022-08-02,Mediation,Completed,Withdrawn - Mediation,MSB - Management Services Bureau,ADD,Limited Duty,Limited Duty,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65659,American Indian/Alaska Native,Male,43,,Male,Black,
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65696,Black,Male,27,,Male,Black,23
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65698,Black,Male,25,,Male,Black,23
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65700,Black,Male,33,,Male,Black,23
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65702,White,Male,33,,Male,Black,23
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65704,Black,Female,35,,Male,Black,23
Rank Initiated,2022-0271-R,2022-06-13,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,4th District,Patrol,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,66070,White,Male,35,,Male,Black,23
Public Initiated,2022-0281-P,2022-06-21,2022-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 2,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65706,Black,Male,54,,Female,Black,28
Public Initiated,,,2022-06-23,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-06-23,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,2022-0264-N,2022-06-01,2022-06-23,2022-07-19,NFIM,Completed,NFIM,,,,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65711,,,,,Female,Black,36
Public Initiated,2022-0273-P,2022-06-15,2022-06-27,2022-10-28,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,65718,Black,Male,50,,Male,Black,0
Rank Initiated,2022-0267-R,2022-06-09,2022-06-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65721,White,Female,27,,,,
Public Initiated,2022-0270-P,2022-05-28,2022-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,2nd District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65723,White,Male,45,,Female,Black,45
Public Initiated,2022-0268-P,,2022-06-10,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65724,White,Male,,,,,
Public Initiated,2022-0279-P,2022-06-11,2022-06-21,2022-10-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65728,,,,,Female,Black,
Public Initiated,2022-0279-P,2022-06-11,2022-06-21,2022-10-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65729,Black,Male,24,,Female,Black,
Public Initiated,2022-0279-P,2022-06-11,2022-06-21,2022-10-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65731,Black,Male,23,,Female,Black,
Public Initiated,2022-0272-P,2022-03-19,2022-06-28,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65741,Black,Male,55,,Male,Race-Unknown,
Rank Initiated,2022-0290-R,2022-06-26,2022-06-27,,DI-1,Forwarded,Pending,MSB - Management Services Bureau,REC & ID,Records,Criminal Records,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65751,Black,Male,50,,,,
Rank Initiated,2022-0287-P,2022-06-15,2022-06-24,2022-08-11,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Regular Working,Between 7am-7pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65752,Black,Female,36,,Female,,
Rank Initiated,,,2022-06-29,,,Initial,Pending,,,,,,,,,,,,,,,,
Rank Initiated,2022-0249-R,2022-05-13,2022-06-29,,DI-1,Forwarded,Pending,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Shooting,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,65767,White,Female,43,,,,
Public Initiated,2022-0276-P,,2022-06-30,,DI-1,Forwarded,Pending,PIB - Public Integrity Bureau,Integrity,Integrity,Staff,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65779,Hispanic,Male,,,,,
Public Initiated,2022-0275-P,2022-06-16,2022-06-30,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65780,Black,Female,31,,Male,Asian,27
Public Initiated,2022-0283-P,2022-06-01,2022-07-01,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65792,White,Male,56,,,,
Public Initiated,2022-0296-P,2022-06-29,2022-06-29,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Second Watch,Second Watch,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,65796,Hispanic,Male,39,,Male,Black,34
Public Initiated,2022-0296-P,2022-06-29,2022-06-29,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Second Watch,Second Watch,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,65797,Black,Male,36,,Male,Black,34
Public Initiated,2022-0282-P,2022-06-11,2022-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Second Watch,Second Watch,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65834,,,,,Female,Hispanic,37
Public Initiated,2022-0282-P,2022-06-11,2022-06-22,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Second Watch,Second Watch,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,67022,Black,Female,39,,Female,Hispanic,37
Public Initiated,2022-0285-P,2022-05-26,2022-07-05,2022-10-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65814,Black,Male,59,,,,
Public Initiated,2022-0285-P,2022-05-26,2022-07-05,2022-10-28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65812,Black,Male,54,,,,
Public Initiated,2022-0280-P,2022-06-21,2022-07-05,2022-10-28,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65816,Black,Female,34,,Female,White,47
Rank Initiated,2022-0303-R,,2022-07-05,,,Initial,Pending,ISB - Investigative Services Bureau,CID,Other Support,Other,Unknown Working Status,Unknown Shift Hours,,,65819,White,Male,,,,,
Rank Initiated,2022-0293-R,2022-06-21,2022-07-05,,DI-1,Active,Pending,FOB - Field Operations Bureau,6th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65822,Black,Male,49,,,,
Public Initiated,2022-0304-P,2022-06-30,2022-07-05,2022-08-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65823,White,Female,27,,Female,Black,21
Rank Initiated,2022-0305-R,2022-07-01,2022-07-05,2022-09-22,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65827,Black,Male,34,,,,
Public Initiated,2022-0288-P,,2022-07-06,,DI-1,Active,Pending,PIB - Public Integrity Bureau,Integrity Criminal,Integrity Criminal,A Section,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65831,Black,Female,,,Male,,
Public Initiated,2022-0284-P,2022-06-10,2022-07-07,2022-09-22,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65833,Black,Male,51,,Male,,
Public Initiated,2022-0291-P,,2022-07-08,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65839,Black,Male,,,,,
Rank Initiated,2022-0298-R,,2022-07-11,2022-11-09,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65845,White,Male,,,,,
Rank Initiated,2022-0289-R,2024-06-24,2022-07-11,2022-11-09,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Detailed/Other,Patrol,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,65849,Hispanic,Male,32,,,,
Public Initiated,2022-0295-P,2022-06-05,2022-06-29,2022-11-03,,Completed,Other,ISB - Investigative Services Bureau,CID,Other Support,Investigations,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65854,White,Male,40,,Male,White,
Rank Initiated,,,2022-06-28,,,Initial,Pending,,,,,,,,,,,,,,,,
Rank Initiated,2022-0314-R,2022-06-28,2022-07-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,SOD,Mounted,Other Mounted,Paid Detail,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65855,Black,Male,57,,,,
Public Initiated,2022-0301-P,2022-06-02,2022-07-05,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65871,Black,Male,23,,Female,Black,46
Public Initiated,2022-0301-P,2022-06-02,2022-07-05,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65873,Black,Male,24,,Female,Black,46
Rank Initiated,2022-0309-R,2022-07-07,2022-07-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65885,White,Male,28,,,,
Public Initiated,2022-0294-P,2022-05-31,2022-07-14,2022-11-09,DI-1,Completed,Not Sustained,MSB - Management Services Bureau,ED & TRN,Education,Recruits,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65887,Black,Female,28,,Female,Black,30
Rank Initiated,2022-0299-R,2022-06-30,2022-07-15,,DI-1,Forwarded,Pending,MSB - Management Services Bureau,REC & ID,NCIC,1st Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65891,Black,Female,41,,,,
Rank Initiated,2022-0302-R,2022-07-02,2022-07-15,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CID,Homicide,Squad B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65895,Black,Male,33,,,,
Public Initiated,2022-0321-P,2022-07-18,2022-07-18,,DI-1,Active,Pending,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Regular Working,Between 7pm-7:15am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65922,Black,Male,47,,Female,Asian,35
Public Initiated,2022-0300-P,2022-06-30,2022-07-18,2022-11-28,DI-1,Completed,Exonerated,ISB - Investigative Services Bureau,CID,Homicide,Witness Assistance,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65925,Black,Female,30,,Female,Black,30
Public Initiated,2022-0320-P,2022-08-27,2022-07-18,2022-09-21,DI-1,Completed,Withdrawn - Mediation,ISB - Investigative Services Bureau,CID,Sex Crimes Child Abuse,2nd Platoon,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65943,Black,Female,51,,,,52
Public Initiated,2022-0312-P,2022-07-08,2022-07-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65951,Black,Male,26,,,,
Rank Initiated,2022-0316-R,2022-07-11,2022-07-11,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65953,Black,Male,46,,,,
Public Initiated,,,2022-07-20,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-07-20,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-07-20,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-07-20,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-07-20,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,2022-0307-P,2022-07-06,2022-07-20,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,65954,White,Male,36,,Female,Black,51
Rank Initiated,2022-0325-R,2022-07-19,2022-07-19,2022-09-07,DI-1,Completed,Negotiated Settlement,FOB - Field Operations Bureau,SOD,Traffic,Motorcycle 1,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,65957,Black,Male,45,,,,
Public Initiated,,,2022-07-06,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,,,2022-07-06,,,Initial,Pending,,,,,,,,,,,,,,,,
Public Initiated,2022-0323-P,2022-06-30,2022-07-06,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65965,Black,Male,40,,Female10,Black,29
Public Initiated,2022-0323-P,2022-06-30,2022-07-06,,DI-1,Initial,Pending,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65966,White,Male,46,,Female10,Black,29
Public Initiated,2022-0317-P,,2022-07-25,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,65982,Hispanic,Male,,,Male,Black,
Rank Initiated,2022-0311-R,2022-07-08,2022-07-25,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CE & CL,Crime Lab,Forensic,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,65988,Black,Female,33,,,,
Rank Initiated,2022-0311-R,2022-07-08,2022-07-25,,DI-1,Forwarded,Pending,ISB - Investigative Services Bureau,CE & CL,Crime Lab,Forensic,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,65989,Black,Female,43,,,,
Rank Initiated,2022-0318-R,2022-07-15,2022-07-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,66017,Black,Male,60,,,,
Rank Initiated,2022-0318-R,2022-07-15,2022-07-27,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,66018,White,Male,54,,,,
Rank Initiated,2022-0324-R,2022-07-18,2022-07-28,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,66022,Black,Male,39,,,,
Rank Initiated,,,2022-07-21,,,Initial,Pending,,,,,,,,,,,,,,,,
Rank Initiated,,,2022-07-21,,,Initial,Pending,,,,,,,,,,,,,,,,
Rank Initiated,2022-0331-R,1987-07-21,2022-07-21,,DI-1,Forwarded,Pending,PIB - Public Integrity Bureau,5th District,5th District,,Regular Working,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,66032,Black,Female,,,Female,Black,-17
