PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2018-0342,09/14/2018,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,,Yes | Yes | Yes,Hispanic | Hispanic | White,Male | Male | Male,43 | 33 | 27,22 | 5 | 5,,,,,,,,,,,refuse verbal commands,No | No | Yes
FTN2021-0132,04/30/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,47,14,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0230,06/28/2022,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,35,7,,,,,,,,,,,Flight from an Officer,No
FTN2022-0239,07/04/2022,FOB - Field Operations Bureau,SOD,Reassignment/LTD,Reassignment/LTD,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Other,Firearm (Exhibited),L1,,Yes,White,Male,34,13,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0311,08/22/2018,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Force (Take Down) | Hands,L2 | L1,,Yes | Yes,Black | Black,Male | Male,40 | 56,14 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2018-0322,08/29/2018,FOB - Field Operations Bureau,8th District,B Platoon,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,40,17,,,,,,,,,,,Tactical Deployments,No
FTN2022-0243,07/07/2022,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,28 | 28,6 | 5,,,,,,,,,,,Flight from an Officer,No | No
FTN2022-0248,07/11/2022,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,46,21,,,,,,,,,,,Tactical Deployments,No
FTN2022-0250,07/13/2022,FOB - Field Operations Bureau,8th District,Second Watch,Second Watch,Unknown Working Status,Unknown Shift Hours,Initial,Pending,Call for Service,Good,Rainy Conditions - Light,Hands,L1,,Yes,White,Male,44,17,,,,,,,,,,,Escape,No
FTN2022-0255,07/15/2022,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,35,7,,,,,,,,,,,Flight from an Officer,No
FTN2022-0063,02/13/2022,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,49,14,,,,,,,,,,,refuse verbal commands,No
FTN2022-0065,02/14/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Hispanic | White,Male | Male,34 | 44,7 | 8,,,,,,,,,,,Tactical Deployments,No | No
FTN2021-0237,08/06/2021,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Black,Male | Male,35 | 36,8 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2016-0359,07/10/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,59,22,,,,,,,,,,,refuse verbal commands,No
FTN2017-0398,08/07/2017,FOB - Field Operations Bureau,7th District,Task Force,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,32,10,,,,,,,,,,,Escape,No
FTN2018-0325,09/01/2018,FOB - Field Operations Bureau,7th District,,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Rifle (Pointed),L1 | L1,,Yes | Yes,Black | White,Female | Male,41 | 32,18 | 8,,,,,,,,,,,Weapon Exhibited,No | No
FTN2018-0327,09/02/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,23,5,,,,,,,,,,,Flight from an Officer,No
FTN2018-0328,09/02/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | Black,Male | Male,36 | 22,6 | 5,,,,,,,,,,,refuse verbal commands,No | No
FTN2018-0351,09/22/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,29,5,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0259,07/17/2022,FOB - Field Operations Bureau,4th District,Second Watch,Second Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Not Used,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | White | Black,Male | Male | Male,33 | 33 | 25,4 | 4 | 3,,,,,,,,,,,Weapon Exhibited,No | No | No
FTN2022-0067,02/15/2022,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,23,2,,,,,,,,,,,Flight from an Officer,No
FTN2022-0066,02/16/2022,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,32,3,,,,,,,,,,,refuse verbal commands,No
FTN2016-0369,07/14/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,,Yes | Yes,Black | White,Male | Male,54 | 38,10 | 8,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2017-0353,07/10/2017,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,No,White,Male,28,7,,,,,,,,,,,refuse verbal commands,No
FTN2018-0334,09/06/2018,FOB - Field Operations Bureau,7th District,Day Watch,Implementation Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Takedown (w/injury),L2,,Yes,Black,Male,22,5,,,,,,,,,,,Flight from an Officer,No
FTN2018-0335,09/06/2018,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Hispanic,Male,25,6,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0336,09/08/2018,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Female,28,5,,,,,,,,,,,Battery on Reporting Person,No
FTN2018-0339,09/10/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,No,Black,Male,38,18,,,,,,,,,,,refuse verbal commands,No
FTN2018-0361,09/13/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,,Yes | Yes,White | Black,Male | Male,45 | 29,23 | 13,,,,,,,,,,,Tactical Deployments,No | No
FTN2018-0344,09/16/2018,FOB - Field Operations Bureau,8th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Other | Takedown (w/injury),L1 | L2,,Yes | Yes,White | Black,Male | Male,26 | 32,7 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2021-0407,12/20/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,No,Asian/Pacific Islander,Male,30,4,,,,,,,,,,,Tactical Deployments,No
FTN2022-0071,02/19/2022,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,36,8,,,,,,,,,,,refuse verbal commands,No
FTN2017-0332,06/22/2017,FOB - Field Operations Bureau,1st District,Narcotics,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,38,13,,,,,,,,,,,refuse verbal commands,No
FTN2017-0341,07/02/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,28,9,,,,,,,,,,,refuse verbal commands,No
FTN2017-0422,08/16/2017,FOB - Field Operations Bureau,1st District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,51,15,,,,,,,,,,,Other,No
FTN2017-0448,08/27/2017,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Hands,L2 | L1,,Yes | Yes,White | White,Male | Male,36 | 52,14 | 25,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0450,08/28/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,45,25,,,,,,,,,,,Tactical Deployments,No
FTN2018-0345,09/19/2018,FOB - Field Operations Bureau,3rd District,Investigations,Staff,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | Yes,Hispanic | Black,Female | Male,44 | 43,10 | 19,,,,,,,,,,,Resisting Officer w/Weapon,No | No
FTN2018-0353,09/20/2018,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,35,13,,,,,,,,,,,Room Clearing,No
FTN2018-0347,09/20/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,Black | Black | White | White,Male | Male | Male | Male,50 | 28 | 30 | 49,25 | 6 | 6 | 5,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2022-0070,02/20/2022,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,- Hands (with injury),L2,,Yes,Black,Male,25,3,,,,,,,,,,,Flight from an Officer,No
FTN2016-0350,07/03/2016,FOB - Field Operations Bureau,8th District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Escort Tech) | Hands | Hands | Hands | Force (Escort Tech) | Hands,L1 | L1 | L1 | L1 | L1 | L1,,Yes | No | Yes | Yes | Yes | Yes,White | White | Hispanic | Black | White | White,Male | Male | Male | Male | Male | Female,54 | 54 | 27 | 33 | 27 | 39,25 | 25 | 11 | 11 | 9 | 9,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No | No
FTN2016-0351,07/04/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,47,14,,,,,,,,,,,refuse verbal commands,No
FTN2016-0353,07/04/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,Black | White,Male | Male,43 | 27,8 | 8,,,,,,,,,,,Other,No | No
FTN2016-0354,07/06/2016,FOB - Field Operations Bureau,8th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,L1,,Yes,White,Male,29,8,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2016-0424,08/21/2016,FOB - Field Operations Bureau,6th District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,White,Female,25,8,,,,,,,,,,,Escape,No
FTN2017-0408,08/12/2017,FOB - Field Operations Bureau,3rd District,D.I.U.,Persons,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,40,14,,,,,,,,,,,refuse verbal commands,No
FTN2017-0424,08/18/2017,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | CEW Deployment,L1 | L2,,Yes | Yes,Black | Black,Male | Male,33 | 33,7 | 7,,,,,,,,,,,Flight from an Officer,No | No
FTN2018-0350,09/21/2018,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited),L1,,Yes,White,Male,32,8,,,,,,,,,,,refuse verbal commands,No
FTN2022-0072,02/21/2022,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,,Yes | Yes,White | Black,Male | Male,35 | 38,8 | 15,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2016-0355,07/06/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited) | Canine (No Bite),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,White | Black | Black | Black | Black,Male | Male | Male | Male | Male,38 | 30 | 43 | 43 | 45,12 | 15 | 24 | 24 | 22,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No
FTN2016-0356,07/08/2016,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,,,Completed,Use Of Force Authorized,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Female,56,16,,,,,,,,,,,refuse verbal commands,No
FTN2016-0357,07/09/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands | Other,L1 | L1 | L2,,Yes | Yes | Yes,Asian/Pacific Islander | Black | Asian/Pacific Islander,Male | Male | Male,30 | 44 | 41,13 | 25 | 7,,,,,,,,,,,Escape,No | No | Yes
FTN2016-0362,07/10/2016,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,53,35,,,,,,,,,,,refuse verbal commands,No
FTN2016-0358,07/10/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,32,7,,,,,,,,,,,Escape,No
FTN2016-0361,07/11/2016,FOB - Field Operations Bureau,4th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Not Specified,Male | Male | Male,38 | 52 | 27,15 | 31 | 8,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2022-0258,07/17/2022,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,29 | 34,6 | 6,,,,,,,,,,,Flight from an Officer,No | No
FTN2022-0073,02/22/2022,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF No Reportable Force Used by Officer,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Asian/Pacific Islander,Male,31,5,,,,,,,,,,,refuse verbal commands,No
FTN2016-0366,07/12/2016,FOB - Field Operations Bureau,8th District,Staff,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,37,4,,,,,,,,,,,refuse verbal commands,No
FTN2016-0370,07/14/2016,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,28,8,,,,,,,,,,,Other,No
FTN2016-0368,07/14/2016,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,Black | Black | Black | Black | Black,Male | Male | Male | Male | Male,28 | 33 | 33 | 40 | 38,14 | 16 | 16 | 17 | 5,,,,,,,,,,,refuse verbal commands,No | No | No | No | No
FTN2016-0373,07/15/2016,FOB - Field Operations Bureau,2nd District,B Platoon,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,40,8,,,,,,,,,,,refuse verbal commands,No
FTN2016-0374,07/17/2016,FOB - Field Operations Bureau,4th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,35,10,,,,,,,,,,,Other,No
FTN2016-0406,08/08/2016,FOB - Field Operations Bureau,1st District,3rd Platoon,,,,Completed,Use Of Force Authorized,Arresting,Poor,Rainy Conditions - Light,Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite),L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Female | Male | Male,56 | 35 | 36,16 | 12 | 14,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0357,09/26/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Male,61 | 33,24 | 13,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2022-0075,02/24/2022,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,No,Black,Male,40,16,,,,,,,,,,,Flight from an Officer,No
FTN2018-0358,09/29/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,Black | White | Black | Black | Black,Female | Male | Male | Female | Female,37 | 31 | 52 | 50 | 31,14 | 13 | 19 | 27 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No
FTN2020-0057,02/22/2020,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | White | Hispanic,Male | Male | Male,54 | 55 | 46,15 | 31 | 24,,,,,,,,,,,refuse verbal commands,No | No | No
FTN2020-0060,02/24/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Female | Male,59 | 45,7 | 19,,,,,,,,,,,refuse verbal commands,No | No
FTN2021-0406,12/21/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Force (Escort Tech) | Force (Take Down),L1 | L2,,Yes | Yes,Asian/Pacific Islander | White,Male | Male,27 | 28,5 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2021-0409,12/22/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Takedown (no injury),L1,,Yes,Black,Female,33,5,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2021-0411,12/24/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Hands,L1 | L1,,Yes | Yes,Hispanic | Black,Male | Male,36 | 29,6 | 2,,,,,,,,,,,Resisting Lawful Arrest,Yes | No
FTN2022-0076,02/24/2022,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | No,Asian/Pacific Islander | Black,Male | Female,39 | 32,14 | 0,,,,,,,,,,,Weapon Exhibited,No | No
FTN2022-0077,02/25/2022,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,,Yes,White,Male,44,5,,,,,,,,,,,refuse verbal commands,No
FTN2016-0411,08/01/2016,FOB - Field Operations Bureau,5th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,White,Female,44,8,,,,,,,,,,,Other,No
FTN2016-0393,08/01/2016,FOB - Field Operations Bureau,6th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Hands | Other,L1 | L4,,Yes | Yes,White | Black,Male | Male,29 | 39,7 | 22,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2016-0394,08/02/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,39,24,,,,,,,,,,,Other,No
FTN2016-0396,08/03/2016,FOB - Field Operations Bureau,3rd District,Task Force A,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,39,13,,,,,,,,,,,Other,No
FTN2016-0399,08/03/2016,FOB - Field Operations Bureau,5th District,Narcotics,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,28,8,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2016-0397,08/03/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,White | White | White,Male | Male | Male,38 | 29 | 32,12 | 14 | 11,,,,,,,,,,,Other,No | No | No
FTN2016-0398,08/04/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Other,Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,White | White | Black | White | White,Male | Male | Male | Male | Male,28 | 38 | 31 | 30 | 28,7 | 8 | 8 | 8 | 7,,,,,,,,,,,refuse verbal commands,No | No | No | No | No
FTN2020-0041,02/09/2020,FOB - Field Operations Bureau,Police Recruits,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,Yes,White,Male,28,5,,,,,,,,,,,refuse verbal commands,No
FTN2021-0414,12/25/2021,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Male,25 | 24,3 | 3,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2016-0400,08/05/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW | Hands,L4 | L1,,Yes | Yes,Hispanic | White,Male | Male,36 | 29,11 | 8,,,,,,,,,,,refuse verbal commands,No | No
FTN2017-0323,06/26/2017,FOB - Field Operations Bureau,6th District,,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down) | Firearm (Exhibited),L2 | L1,,Yes | Yes,Black | White,Male | Male,50 | 46,15 | 25,,,,,,,,,,,refuse verbal commands,No | No
